,no,time,num
0,1,2020-01-28,10
1,2,2020-01-29,11
2,3,2020-01-30,14
3,4,2020-01-31,14
4,5,2020-02-01,22
5,6,2020-02-02,27
6,7,2020-02-03,28
7,8,2020-02-04,28
8,9,2020-02-05,30
9,10,2020-02-06,30
10,11,2020-02-07,30
11,12,2020-02-08,31
12,13,2020-02-09,31
13,14,2020-02-10,31
14,15,2020-02-11,32
15,16,2020-02-12,32
16,17,2020-02-13,32
17,18,2020-02-14,34
18,19,2020-02-15,35
19,20,2020-02-16,36
20,21,2020-02-17,36
21,22,2020-02-18,36
22,23,2020-02-19,37
23,24,2020-02-20,37
24,25,2020-02-21,37
25,26,2020-02-22,38
26,27,2020-02-23,38
27,28,2020-02-24,38
28,29,2020-02-25,38
29,30,2020-02-26,38
30,31,2020-02-27,38
31,32,2020-02-28,38
32,33,2020-02-29,38
33,34,2020-03-01,38
34,35,2020-03-02,38
35,36,2020-03-03,38
36,37,2020-03-04,38
37,38,2020-03-05,38
38,39,2020-03-06,38
39,40,2020-03-07,38
40,41,2020-03-08,38
