,no,time,num
0,1,2020-01-28,9
1,2,2020-01-29,11
2,3,2020-01-30,14
3,4,2020-01-31,16
4,5,2020-02-01,16
5,6,2020-02-02,16
6,7,2020-02-03,17
7,8,2020-02-04,18
8,9,2020-02-05,18
9,10,2020-02-06,18
10,11,2020-02-07,18
11,12,2020-02-08,18
12,13,2020-02-09,18
13,14,2020-02-10,18
14,15,2020-02-11,18
15,16,2020-02-12,20
16,17,2020-02-13,20
17,18,2020-02-14,20
18,19,2020-02-15,20
19,20,2020-02-16,20
20,21,2020-02-17,20
21,22,2020-02-18,20
22,23,2020-02-19,20
23,24,2020-02-20,20
24,25,2020-02-21,20
25,26,2020-02-22,21
26,27,2020-02-23,21
27,28,2020-02-24,21
28,29,2020-02-25,21
29,30,2020-02-26,21
30,31,2020-02-27,21
31,32,2020-02-28,21
32,34,2020-03-01,21
33,35,2020-03-02,21
34,36,2020-03-03,21
35,37,2020-03-04,21
36,38,2020-03-05,21
37,39,2020-03-06,21
