,no,time,num
0,1,2020-01-23,24
1,2,2020-01-24,43
2,3,2020-01-25,69
3,4,2020-01-26,100
4,5,2020-01-27,143
5,6,2020-01-28,221
6,7,2020-01-29,277
7,8,2020-01-30,332
8,9,2020-01-31,389
9,10,2020-02-01,463
10,11,2020-02-02,521
11,12,2020-02-03,593
12,13,2020-02-04,661
13,14,2020-02-05,711
14,15,2020-02-06,772
15,16,2020-02-07,803
16,17,2020-02-08,838
17,18,2020-02-09,879
18,19,2020-02-10,912
19,20,2020-02-11,946
20,21,2020-02-12,968
21,22,2020-02-13,988
22,23,2020-02-14,1001
23,24,2020-02-15,1004
24,25,2020-02-16,1006
25,26,2020-02-17,1007
26,27,2020-02-18,1008
27,28,2020-02-19,1010
28,29,2020-02-20,1011
29,30,2020-02-21,1013
30,31,2020-02-22,1016
31,32,2020-02-23,1016
32,33,2020-02-24,1016
33,34,2020-02-25,1016
34,35,2020-02-26,1017
35,36,2020-02-27,1017
36,37,2020-02-28,1018
37,38,2020-02-29,1018
38,39,2020-03-01,1018
39,40,2020-03-02,1018
40,41,2020-03-03,1018
41,42,2020-03-04,1018
42,43,2020-03-05,1018
43,44,2020-03-06,1018
44,45,2020-03-07,1018
45,46,2020-03-08,1018
46,47,2020-03-09,1018
47,48,2020-03-10,1018
48,49,2020-03-11,1018
49,50,2020-03-12,1018
50,51,2020-03-13,1018
51,52,2020-03-14,1018
52,53,2020-03-15,1018
53,54,2020-03-16,1018
54,55,2020-03-17,1018
55,56,2020-03-18,1018
56,57,2020-03-19,1018
57,58,2020-03-20,1018
58,59,2020-03-21,1018
59,60,2020-03-22,1018
60,61,2020-03-23,1018
61,62,2020-03-24,1018
62,63,2020-03-25,1018
63,64,2020-03-26,1018
64,65,2020-03-27,1018
65,66,2020-03-28,1018
66,67,2020-03-29,1018
67,68,2020-03-30,1018
68,69,2020-03-31,1018
69,70,2020-04-01,1019
70,71,2020-04-02,1019
71,72,2020-04-03,1019
72,73,2020-04-04,1019
73,74,2020-04-05,1019
74,75,2020-04-06,1019
75,76,2020-04-07,1019
76,77,2020-04-08,1019
77,78,2020-04-09,1019
78,79,2020-04-10,1019
79,80,2020-04-11,1019
80,81,2020-04-12,1019
81,82,2020-04-13,1019
82,83,2020-04-14,1019
83,84,2020-04-15,1019
84,85,2020-04-16,1019
85,86,2020-04-17,1019
86,87,2020-04-18,1019
87,88,2020-04-19,1019
88,89,2020-04-20,1019
89,90,2020-04-21,1019
90,91,2020-04-22,1019
91,92,2020-04-23,1019
92,93,2020-04-24,1019
93,94,2020-04-25,1019
94,95,2020-04-26,1019
95,96,2020-04-27,1019
96,97,2020-04-28,1019
97,98,2020-04-29,1019
98,99,2020-04-30,1019
99,100,2020-05-01,1019
100,101,2020-05-02,1019
101,102,2020-05-03,1019
102,103,2020-05-04,1019
103,104,2020-05-05,1019
104,105,2020-05-06,1019
105,106,2020-05-07,1019
106,107,2020-05-08,1019
107,108,2020-05-09,1019
108,109,2020-05-10,1019
109,110,2020-05-11,1019
110,111,2020-05-12,1019
111,112,2020-05-13,1019
112,113,2020-05-14,1019
113,114,2020-05-15,1019
114,115,2020-05-16,1019
115,116,2020-05-17,1019
116,117,2020-05-18,1019
117,118,2020-05-19,1019
118,119,2020-05-20,1019
119,120,2020-05-21,1019
120,121,2020-05-22,1019
121,122,2020-05-23,1019
122,123,2020-05-24,1019
123,124,2020-05-25,1019
124,125,2020-05-26,1019
125,126,2020-05-27,1019
126,127,2020-05-28,1019
127,128,2020-05-29,1019
128,129,2020-05-30,1019
129,130,2020-05-31,1019
130,131,2020-06-01,1019
131,132,2020-06-02,1019
132,133,2020-06-03,1019
133,134,2020-06-04,1019
134,135,2020-06-05,1019
135,136,2020-06-06,1019
136,137,2020-06-07,1019
137,138,2020-06-08,1019
138,139,2020-06-09,1019
139,140,2020-06-10,1019
140,141,2020-06-11,1019
141,142,2020-06-12,1019
142,143,2020-06-13,1019
143,144,2020-06-14,1019
144,145,2020-06-15,1019
145,146,2020-06-16,1019
146,147,2020-06-17,1019
147,148,2020-06-18,1019
148,149,2020-06-19,1019
149,150,2020-06-20,1019
150,151,2020-06-21,1019
151,152,2020-06-22,1019
152,153,2020-06-23,1019
153,154,2020-06-24,1019
154,155,2020-06-25,1019
155,156,2020-06-26,1019
156,157,2020-06-27,1019
157,158,2020-06-28,1019
158,159,2020-06-29,1019
159,160,2020-06-30,1019
160,161,2020-07-01,1019
161,162,2020-07-02,1019
162,163,2020-07-03,1019
163,164,2020-07-04,1019
164,165,2020-07-05,1019
165,166,2020-07-06,1019
166,167,2020-07-07,1019
167,168,2020-07-08,1019
168,169,2020-07-09,1019
169,170,2020-07-10,1019
170,171,2020-07-11,1019
171,172,2020-07-12,1019
172,173,2020-07-13,1019
