,no,time,num
0,1,2020-06-11,8985
1,2,2020-06-12,9768
2,3,2020-06-13,9768
3,4,2020-06-14,10244
4,5,2020-06-15,10698
5,6,2020-06-16,11494
6,7,2020-06-17,11909
7,8,2020-06-18,12300
8,9,2020-06-19,12735
9,10,2020-06-20,13090
10,11,2020-06-21,13531
11,12,2020-06-22,13945
12,13,2020-06-23,14358
13,14,2020-06-24,14728
14,15,2020-06-25,15173
15,16,2020-06-26,15648
16,17,2020-06-27,16190
17,18,2020-06-28,16711
18,19,2020-06-29,17283
19,20,2020-06-30,17907
20,21,2020-07-01,18559
21,22,2020-07-02,19170
22,23,2020-07-03,19819
23,24,2020-07-04,20488
24,25,2020-07-05,21231
25,26,2020-07-06,22126
26,27,2020-07-07,22987
27,28,2020-07-08,23837
28,29,2020-07-09,24823
29,30,2020-07-10,25911
30,31,2020-07-11,27109
31,32,2020-07-12,28453
32,33,2020-07-13,30013
33,34,2020-07-14,31448
34,35,2020-07-15,32838
35,36,2020-07-16,34427
36,37,2020-07-17,36117
37,38,2020-07-18,38011
38,39,2020-07-19,40209
39,40,2020-07-20,42487
40,41,2020-07-21,44769
41,42,2020-07-22,47030
42,43,2020-07-23,49321
43,44,2020-07-24,51757
44,45,2020-07-25,53973
45,46,2020-07-26,56377
46,47,2020-07-27,58718
47,48,2020-07-28,60830
48,49,2020-07-29,60830
49,50,2020-07-30,65258
50,51,2020-07-31,67692
51,52,2020-08-01,70188
52,53,2020-08-02,72777
53,54,2020-08-03,75516
54,55,2020-08-04,78232
55,56,2020-08-05,80984
56,57,2020-08-06,83800
57,58,2020-08-07,86754
58,59,2020-08-08,89666
59,60,2020-08-09,92615
60,61,2020-08-10,95554
61,62,2020-08-11,98459
62,63,2020-08-12,101390
63,64,2020-08-13,104326
64,65,2020-08-14,107323
65,66,2020-08-15,110358
66,67,2020-08-16,113432
67,68,2020-08-17,116498
68,69,2020-08-18,119578
69,70,2020-08-19,122753
70,71,2020-08-20,125922
71,72,2020-08-21,129119
