,no,time,num
0,1,2020-01-28,8
1,2,2020-01-29,10
2,3,2020-01-30,10
3,4,2020-01-31,13
4,5,2020-02-01,14
5,6,2020-02-02,16
6,7,2020-02-03,17
7,8,2020-02-04,17
8,9,2020-02-05,19
9,10,2020-02-06,21
10,11,2020-02-07,21
11,12,2020-02-08,21
12,13,2020-02-09,21
13,14,2020-02-10,22
14,15,2020-02-11,22
15,16,2020-02-12,22
16,17,2020-02-13,22
17,18,2020-02-14,23
18,19,2020-02-15,24
19,20,2020-02-16,24
20,21,2020-02-17,25
21,22,2020-02-18,25
22,23,2020-02-19,25
23,24,2020-02-20,26
24,25,2020-02-21,26
25,26,2020-02-22,26
26,27,2020-02-23,26
27,28,2020-02-24,26
28,29,2020-02-25,26
29,30,2020-02-26,26
30,31,2020-02-27,26
31,32,2020-02-28,26
32,34,2020-03-01,26
33,35,2020-03-02,26
34,36,2020-03-03,26
35,37,2020-03-04,26
36,38,2020-03-05,26
37,39,2020-03-06,26
38,40,2020-03-07,26
39,41,2020-03-08,26
40,42,2020-03-09,26
41,43,2020-03-10,26
42,44,2020-03-11,26
43,45,2020-03-12,26
