,no,time,num
0,1,2020-01-28,4
1,2,2020-01-29,4
2,3,2020-01-30,6
3,4,2020-01-31,11
4,5,2020-02-01,12
5,6,2020-02-02,15
6,7,2020-02-03,15
7,8,2020-02-04,16
8,9,2020-02-05,19
9,10,2020-02-06,23
10,11,2020-02-07,24
11,12,2020-02-08,24
12,13,2020-02-09,27
13,14,2020-02-10,27
14,15,2020-02-11,28
15,16,2020-02-12,28
16,17,2020-02-13,28
17,18,2020-02-14,28
18,19,2020-02-15,28
19,20,2020-02-16,29
20,21,2020-02-17,30
21,22,2020-02-18,31
22,23,2020-02-19,51
23,24,2020-02-20,104
24,25,2020-02-21,208
25,26,2020-02-22,433
26,27,2020-02-23,602
27,28,2020-02-24,833
28,29,2020-02-25,977
29,30,2020-02-26,1261
30,31,2020-02-27,1766
31,32,2020-02-28,2337
32,33,2020-02-29,3150
33,34,2020-03-01,3736
34,35,2020-03-02,4335
35,36,2020-03-03,5186
36,37,2020-03-04,5621
37,38,2020-03-05,6088
38,39,2020-03-06,6284
39,40,2020-03-07,6767
40,41,2020-03-08,7313
41,42,2020-03-09,7478
42,43,2020-03-10,7513
43,44,2020-03-11,7755
44,45,2020-03-12,7869
45,46,2020-03-13,7979
46,47,2020-03-14,8086
47,48,2020-03-15,8162
48,49,2020-03-16,8236
49,50,2020-03-17,8320
50,51,2020-03-18,8413
51,52,2020-03-19,8565
52,53,2020-03-20,8652
53,54,2020-03-21,8799
54,55,2020-03-22,8897
55,56,2020-03-23,8961
56,57,2020-03-24,9037
57,58,2020-03-25,9137
58,59,2020-03-26,9241
59,60,2020-03-27,9332
60,61,2020-03-28,9478
61,62,2020-03-29,9583
62,63,2020-03-30,9661
63,64,2020-03-31,9786
64,65,2020-04-01,9887
65,66,2020-04-02,9976
66,67,2020-04-03,10062
67,68,2020-04-04,10156
68,69,2020-04-05,10237
69,70,2020-04-06,10284
70,71,2020-04-07,10331
71,72,2020-04-08,10384
72,73,2020-04-09,10423
73,74,2020-04-10,10450
74,75,2020-04-11,10480
75,76,2020-04-12,10512
76,77,2020-04-13,10537
77,78,2020-04-14,10564
78,79,2020-04-15,10591
79,80,2020-04-16,10613
80,81,2020-04-17,10635
81,82,2020-04-18,10653
82,83,2020-04-19,10661
83,84,2020-04-20,10674
84,85,2020-04-21,10683
85,86,2020-04-22,10694
86,87,2020-04-23,10702
87,88,2020-04-24,10708
88,89,2020-04-25,10718
89,90,2020-04-26,10728
90,91,2020-04-27,10738
91,92,2020-04-28,10752
92,93,2020-04-29,10761
93,94,2020-04-30,10765
94,95,2020-05-01,10774
95,96,2020-05-02,10780
96,97,2020-05-03,10780
97,98,2020-05-04,10801
98,99,2020-05-05,10804
99,100,2020-05-06,10806
100,101,2020-05-07,10810
101,102,2020-05-08,10822
102,103,2020-05-09,10840
103,104,2020-05-10,10874
104,105,2020-05-11,10909
105,106,2020-05-12,10936
106,107,2020-05-13,10962
107,108,2020-05-14,10991
108,109,2020-05-15,11018
109,110,2020-05-16,11037
110,111,2020-05-17,11050
111,112,2020-05-18,11065
112,113,2020-05-19,11078
113,114,2020-05-20,11110
114,115,2020-05-21,11122
115,116,2020-05-22,11142
116,117,2020-05-23,11165
117,118,2020-05-24,11190
118,119,2020-05-25,11206
119,120,2020-05-26,11225
120,121,2020-05-27,11265
121,122,2020-05-28,11344
122,123,2020-05-29,11402
123,124,2020-05-30,11441
124,125,2020-05-31,11468
125,126,2020-06-01,11503
126,127,2020-06-02,11541
127,128,2020-06-03,11541
128,129,2020-06-04,11629
129,130,2020-06-05,11668
130,131,2020-06-06,11719
131,132,2020-06-07,11776
132,133,2020-06-08,11814
133,134,2020-06-09,11852
134,135,2020-06-10,11902
135,136,2020-06-11,11947
136,137,2020-06-12,12003
137,138,2020-06-13,12051
138,139,2020-06-14,12085
139,140,2020-06-15,12121
140,141,2020-06-16,12155
141,142,2020-06-17,12198
142,143,2020-06-18,12257
143,144,2020-06-19,12306
144,145,2020-06-20,12373
145,146,2020-06-21,12421
146,147,2020-06-22,12438
147,148,2020-06-23,12484
148,149,2020-06-24,12535
149,150,2020-06-25,12563
150,151,2020-06-26,12602
151,152,2020-06-27,12653
152,153,2020-06-28,12715
153,154,2020-06-29,12757
154,155,2020-06-30,12800
155,156,2020-07-01,12850
156,157,2020-07-02,12904
157,158,2020-07-03,12967
158,159,2020-07-04,13030
159,160,2020-07-05,13091
160,161,2020-07-06,13137
161,162,2020-07-07,13181
162,163,2020-07-08,13244
163,164,2020-07-09,13293
164,165,2020-07-10,13338
165,166,2020-07-11,13373
166,167,2020-07-12,13417
167,168,2020-07-13,13479
168,169,2020-07-14,13512
169,170,2020-07-15,13551
170,171,2020-07-16,13612
171,172,2020-07-17,13672
172,173,2020-07-18,13711
173,174,2020-07-19,13745
174,175,2020-07-20,13771
175,176,2020-07-21,13816
176,177,2020-07-22,13879
177,178,2020-07-23,13938
178,179,2020-07-24,13979
179,180,2020-07-25,14092
180,181,2020-07-26,14150
181,182,2020-07-27,14175
182,183,2020-07-28,14203
183,184,2020-07-29,14251
184,185,2020-07-30,14269
185,186,2020-07-31,14305
186,187,2020-08-01,14336
187,188,2020-08-02,14366
188,189,2020-08-03,14389
189,190,2020-08-04,14423
190,191,2020-08-05,14456
191,192,2020-08-06,14499
192,193,2020-08-07,14519
193,194,2020-08-08,14562
194,195,2020-08-09,14598
195,196,2020-08-10,14626
196,197,2020-08-11,14660
197,198,2020-08-12,14714
198,199,2020-08-13,14770
199,200,2020-08-14,14873
200,201,2020-08-15,15039
201,202,2020-08-16,15318
202,203,2020-08-17,15515
203,204,2020-08-18,15761
204,205,2020-08-19,16058
205,206,2020-08-20,16346
206,207,2020-08-21,16670
207,208,2020-08-22,17002
208,209,2020-08-23,17399
209,210,2020-08-24,17665
210,211,2020-08-25,17945
211,212,2020-08-26,18265
212,213,2020-08-27,18706
213,214,2020-08-28,19077
214,215,2020-08-29,19400
215,216,2020-08-30,19699
216,217,2020-08-31,19947
217,218,2020-09-01,20182
218,219,2020-09-02,20449
219,220,2020-09-03,20644
220,221,2020-09-04,20842
221,222,2020-09-05,21010
222,223,2020-09-06,21177
223,224,2020-09-07,21296
224,225,2020-09-08,21432
225,226,2020-09-09,21588
226,227,2020-09-10,21743
227,228,2020-09-11,21919
228,229,2020-09-12,22055
229,230,2020-09-13,22176
230,231,2020-09-14,22285
231,232,2020-09-15,22391
232,233,2020-09-16,22504
233,234,2020-09-17,22657
234,235,2020-09-18,22783
235,236,2020-09-19,22893
236,237,2020-09-20,22975
237,238,2020-09-21,23045
238,239,2020-09-22,23106
239,240,2020-09-23,23216
240,241,2020-09-24,23341
241,242,2020-09-25,23455
242,243,2020-09-26,23516
243,244,2020-09-27,23611
244,245,2020-09-28,23661
245,246,2020-09-29,23699
246,247,2020-09-30,23812
247,248,2020-10-01,23889
248,249,2020-10-02,23952
249,250,2020-10-03,24027
250,251,2020-10-04,24091
251,252,2020-10-05,24164
252,253,2020-10-06,24239
253,254,2020-10-07,24353
254,255,2020-10-08,24422
255,256,2020-10-09,24476
256,257,2020-10-10,24548
257,258,2020-10-11,24606
258,259,2020-10-12,24703
259,260,2020-10-13,24805
260,261,2020-10-14,24889
261,262,2020-10-15,24988
262,263,2020-10-16,25035
263,264,2020-10-17,25108
264,265,2020-10-18,25199
265,266,2020-10-19,25275
266,267,2020-10-20,25333
267,268,2020-10-21,25424
268,269,2020-10-22,25543
269,270,2020-10-23,25698
270,271,2020-10-24,25775
271,272,2020-10-25,25836
272,273,2020-10-26,25955
273,274,2020-10-27,26043
274,275,2020-10-28,26146
275,276,2020-10-29,26271
276,277,2020-10-30,26385
277,278,2020-10-31,26511
278,279,2020-11-01,26635
279,280,2020-11-02,26732
280,281,2020-11-03,26807
281,282,2020-11-04,26925
282,283,2020-11-05,27050
283,284,2020-11-06,27195
284,285,2020-11-07,27284
285,286,2020-11-08,27427
286,287,2020-11-09,27553
287,288,2020-11-10,27653
288,289,2020-11-11,27799
289,290,2020-11-12,27942
290,291,2020-11-13,28133
291,292,2020-11-14,28338
292,293,2020-11-15,28546
293,294,2020-11-16,28769
294,295,2020-11-17,28998
295,296,2020-11-18,29311
296,297,2020-11-19,29654
297,298,2020-11-20,30017
298,299,2020-11-21,30403
299,300,2020-11-22,30733
300,301,2020-11-23,31004
301,302,2020-11-24,31353
302,303,2020-11-25,31735
303,304,2020-11-26,32318
304,305,2020-11-27,32887
305,306,2020-11-28,33375
306,307,2020-11-29,33824
307,308,2020-11-30,34201
308,309,2020-12-01,34652
309,310,2020-12-02,35163
310,311,2020-12-03,35703
311,312,2020-12-04,36332
312,313,2020-12-05,36915
313,314,2020-12-06,37546
314,315,2020-12-07,38161
315,316,2020-12-08,38755
316,317,2020-12-09,39432
317,318,2020-12-10,40098
318,319,2020-12-11,40786
319,320,2020-12-12,41736
320,321,2020-12-13,42766
321,322,2020-12-14,43484
322,323,2020-12-15,44364
323,324,2020-12-16,45442
324,325,2020-12-17,46453
325,326,2020-12-18,47515
326,327,2020-12-19,48570
327,328,2020-12-20,49665
328,329,2020-12-21,50591
329,330,2020-12-22,51460
330,331,2020-12-23,52550
331,332,2020-12-24,53533
332,333,2020-12-25,54770
333,334,2020-12-26,55902
334,335,2020-12-27,56872
335,336,2020-12-28,57680
336,337,2020-12-29,58725
337,338,2020-12-30,59773
338,339,2020-12-31,60740
339,340,2021-01-01,61769
340,341,2021-01-02,62593
341,342,2021-01-03,63244
342,343,2021-01-04,64264
343,344,2021-01-05,64979
344,345,2021-01-06,65818
345,346,2021-01-07,66686
346,347,2021-01-08,67358
347,348,2021-01-09,67999
348,349,2021-01-10,68664
349,350,2021-01-11,69114
350,351,2021-01-12,69651
351,352,2021-01-13,70212
352,353,2021-01-14,70728
353,354,2021-01-15,71241
354,355,2021-01-16,71820
355,356,2021-01-17,72340
356,357,2021-01-18,72729
357,358,2021-01-19,73115
358,359,2021-01-20,73518
359,360,2021-01-21,73918
360,361,2021-01-22,74262
361,362,2021-01-23,74692
362,363,2021-01-24,75084
363,364,2021-01-25,75521
364,365,2021-01-26,75875
365,366,2021-01-27,76429
366,367,2021-01-28,76926
367,368,2021-01-29,77395
368,369,2021-01-30,77850
369,370,2021-01-31,78205
370,371,2021-02-01,78508
371,372,2021-02-02,78844
372,373,2021-02-03,79311
373,374,2021-02-04,79762
374,375,2021-02-05,80131
375,376,2021-02-06,80524
376,377,2021-02-07,80896
377,378,2021-02-08,81185
378,379,2021-02-09,81487
379,380,2021-02-10,81930
380,381,2021-02-11,82434
381,382,2021-02-12,82837
382,383,2021-02-13,83199
383,384,2021-02-14,83525
384,385,2021-02-15,83869
385,386,2021-02-16,84325
386,387,2021-02-17,84946
387,388,2021-02-18,85567
388,389,2021-02-19,86128
389,390,2021-02-20,86574
390,391,2021-02-21,86992
391,392,2021-02-22,87324
392,393,2021-02-23,87681
393,394,2021-02-24,88120
394,395,2021-02-25,88516
395,396,2021-02-26,88922
396,397,2021-02-27,89321
397,398,2021-02-28,89676
398,399,2021-03-01,90031
399,400,2021-03-02,90372
400,401,2021-03-03,90816
401,402,2021-03-04,91240
402,403,2021-03-05,91638
403,404,2021-03-06,92055
404,405,2021-03-07,92471
405,406,2021-03-08,92817
406,407,2021-03-09,93263
407,408,2021-03-10,93733
408,409,2021-03-11,94198
409,410,2021-03-12,94686
410,411,2021-03-13,95176
411,412,2021-03-14,95635
412,413,2021-03-15,96017
413,414,2021-03-16,96380
414,415,2021-03-17,96849
415,416,2021-03-18,97294
416,417,2021-03-19,97757
417,418,2021-03-20,98209
418,419,2021-03-21,98665
419,420,2021-03-22,99075
420,421,2021-03-23,99421
421,422,2021-03-24,99846
422,423,2021-03-25,100276
423,424,2021-03-26,100770
424,425,2021-03-27,101275
425,426,2021-03-28,101757
426,427,2021-03-29,102141
427,428,2021-03-30,102141
428,429,2021-03-31,103088
429,430,2021-04-01,103639
430,431,2021-04-02,104194
431,432,2021-04-03,104736
432,433,2021-04-04,105279
433,434,2021-04-05,105752
434,435,2021-04-06,106230
435,436,2021-04-07,106898
436,437,2021-04-08,107598
437,438,2021-04-09,108269
438,439,2021-04-10,108945
439,440,2021-04-11,109559
440,441,2021-04-12,110146
441,442,2021-04-13,110688
442,443,2021-04-14,111419
443,444,2021-04-15,112117
444,445,2021-04-16,112789
445,446,2021-04-17,113444
446,447,2021-04-18,114115
447,448,2021-04-19,114646
448,449,2021-04-20,115195
449,450,2021-04-21,115926
450,451,2021-04-22,116661
451,452,2021-04-23,117458
452,453,2021-04-24,118243
453,454,2021-04-25,118887
454,455,2021-04-26,119387
455,456,2021-04-27,119898
456,457,2021-04-28,120673
457,458,2021-04-29,121351
458,459,2021-04-30,122007
459,460,2021-05-01,122634
460,461,2021-05-02,123240
461,462,2021-05-03,123728
462,463,2021-05-04,124269
463,464,2021-05-05,124945
464,465,2021-05-06,125519
465,466,2021-05-07,126044
466,467,2021-05-08,126745
467,468,2021-05-09,127309
468,469,2021-05-10,127772
469,470,2021-05-11,128283
470,471,2021-05-12,128918
471,472,2021-05-13,129633
472,473,2021-05-14,130380
473,474,2021-05-15,131061
474,475,2021-05-16,131671
475,476,2021-05-17,132290
476,477,2021-05-18,132818
477,478,2021-05-19,133471
478,479,2021-05-20,134117
479,480,2021-05-21,134678
480,481,2021-05-22,135344
481,482,2021-05-23,135929
482,483,2021-05-24,136467
483,484,2021-05-25,136983
484,485,2021-05-26,137682
485,486,2021-05-27,138311
486,487,2021-05-28,138898
487,488,2021-05-29,139431
488,489,2021-05-30,139910
489,490,2021-05-31,140340
490,491,2021-06-01,140799
491,492,2021-06-02,141476
492,493,2021-06-03,142157
