,no,time,num
0,1,2020-04-12,308
1,2,2020-04-13,331
2,3,2020-04-14,341
3,4,2020-04-15,365
4,5,2020-04-16,393
5,6,2020-04-17,393
6,7,2020-04-18,528
7,8,2020-04-19,585
8,9,2020-04-20,627
9,10,2020-04-21,644
10,11,2020-04-22,679
11,13,2020-04-24,709
12,14,2020-04-25,748
13,15,2020-04-26,803
14,16,2020-04-27,867
15,17,2020-04-28,942
16,18,2020-04-29,991
17,19,2020-04-30,1033
18,20,2020-05-01,1067
19,21,2020-05-02,1107
20,22,2020-05-03,1153
21,23,2020-05-04,1191
22,24,2020-05-05,1225
23,25,2020-05-06,1266
24,26,2020-05-07,1323
25,27,2020-05-08,1371
26,28,2020-05-09,1425
27,29,2020-05-10,1464
28,30,2020-05-11,1491
29,31,2020-05-12,1518
30,32,2020-05-13,1571
31,33,2020-05-14,1647
32,34,2020-05-15,1712
33,35,2020-05-16,1761
34,36,2020-05-17,1848
35,37,2020-05-18,1900
36,38,2020-05-19,1931
37,39,2020-05-20,1994
38,40,2020-05-21,2095
39,41,2020-05-22,2229
40,42,2020-05-23,2317
41,43,2020-05-24,2365
42,44,2020-05-25,2418
43,45,2020-05-26,2457
44,46,2020-05-27,2422
45,47,2020-05-28,2439
46,48,2020-05-29,2481
47,49,2020-05-30,2520
48,50,2020-05-31,2554
49,51,2020-06-01,2577
50,52,2020-06-02,2625
51,53,2020-06-03,2646
52,54,2020-06-04,2679
53,55,2020-06-05,2706
54,56,2020-06-06,2745
55,57,2020-06-07,2816
56,58,2020-06-08,2861
57,59,2020-06-09,2880
58,60,2020-06-10,2901
59,61,2020-06-11,2941
60,62,2020-06-12,2980
61,63,2020-06-13,3016
62,64,2020-06-14,3058
63,65,2020-06-15,3080
64,66,2020-06-16,3101
65,67,2020-06-17,3124
66,68,2020-06-18,3166
67,69,2020-06-19,3193
68,70,2020-06-20,3226
69,71,2020-06-21,3251
70,72,2020-06-22,3288
71,73,2020-06-23,3313
72,74,2020-06-24,3320
73,75,2020-06-25,3362
74,76,2020-06-26,3393
75,77,2020-06-27,3421
76,78,2020-06-28,3458
77,79,2020-06-29,3495
78,80,2020-06-30,3539
79,81,2020-07-01,3576
80,82,2020-07-02,3615
81,83,2020-07-03,3657
82,84,2020-07-04,3722
83,85,2020-07-05,3779
84,86,2020-07-06,3816
85,87,2020-07-07,3849
86,88,2020-07-08,3898
87,89,2020-07-09,3971
88,90,2020-07-10,4071
89,91,2020-07-11,4155
90,92,2020-07-12,4243
91,93,2020-07-13,4334
92,94,2020-07-14,4442
93,95,2020-07-15,4493
94,96,2020-07-16,4565
95,97,2020-07-17,4668
96,98,2020-07-18,4792
97,99,2020-07-19,4907
98,100,2020-07-20,5019
99,101,2020-07-21,5126
100,102,2020-07-22,5207
101,103,2020-07-23,5367
102,104,2020-07-24,5493
103,105,2020-07-25,5614
104,106,2020-07-26,5736
105,107,2020-07-27,5876
106,108,2020-07-28,5986
107,109,2020-07-29,6141
108,110,2020-07-30,6227
109,111,2020-07-31,6301
110,112,2020-08-01,6469
111,113,2020-08-02,6602
112,114,2020-08-03,6660
113,115,2020-08-04,6785
114,116,2020-08-05,6933
115,117,2020-08-06,7057
116,118,2020-08-07,7177
117,119,2020-08-08,7327
118,120,2020-08-09,7508
119,121,2020-08-10,7596
120,122,2020-08-11,7713
121,123,2020-08-12,7885
122,124,2020-08-13,7970
123,125,2020-08-14,8171
124,126,2020-08-15,8322
125,127,2020-08-16,8444
126,128,2020-08-17,8587
127,129,2020-08-18,8647
128,130,2020-08-19,8782
129,131,2020-08-20,8968
130,132,2020-08-21,9242
131,133,2020-08-22,9474
132,134,2020-08-23,9736
133,135,2020-08-24,9876
134,136,2020-08-25,10000
135,137,2020-08-26,10229
136,138,2020-08-27,10467
137,139,2020-08-28,10800
138,140,2020-08-29,11110
139,141,2020-08-30,11484
140,142,2020-08-31,11702
141,143,2020-09-01,11816
142,144,2020-09-02,12000
143,145,2020-09-03,12267
144,146,2020-09-04,12629
145,147,2020-09-05,12973
146,148,2020-09-06,13334
147,149,2020-09-07,13631
148,150,2020-09-08,13801
149,151,2020-09-09,13872
150,152,2020-09-10,14110
151,153,2020-09-11,14443
152,154,2020-09-12,14684
153,155,2020-09-13,15151
154,156,2020-09-14,15577
155,157,2020-09-15,15831
156,158,2020-09-16,16064
