,no,time,num
0,1,2020-01-28,5
1,2,2020-01-29,8
2,3,2020-01-30,8
3,4,2020-01-31,8
4,5,2020-02-01,11
5,6,2020-02-02,12
6,7,2020-02-03,13
7,8,2020-02-04,13
8,9,2020-02-05,15
9,10,2020-02-06,17
10,11,2020-02-07,17
11,12,2020-02-08,18
12,13,2020-02-09,19
13,14,2020-02-10,20
14,15,2020-02-11,20
15,16,2020-02-12,20
16,17,2020-02-13,20
17,18,2020-02-14,20
18,19,2020-02-15,20
19,20,2020-02-16,20
20,21,2020-02-17,20
21,22,2020-02-18,20
22,23,2020-02-19,20
23,24,2020-02-20,20
24,25,2020-02-21,20
25,26,2020-02-22,20
26,27,2020-02-23,20
27,28,2020-02-24,20
28,29,2020-02-25,20
29,30,2020-02-26,20
30,31,2020-02-27,20
31,32,2020-02-28,20
32,34,2020-03-01,20
33,35,2020-03-02,20
34,36,2020-03-03,20
35,37,2020-03-04,20
36,38,2020-03-05,20
37,39,2020-03-06,20
38,40,2020-03-07,20
39,41,2020-03-08,20
40,42,2020-03-09,20
41,43,2020-03-10,20
