,no,time,num
0,1,2020-01-30,11
1,4,2020-02-02,13
2,5,2020-02-03,16
3,6,2020-02-04,21
4,8,2020-02-06,24
5,9,2020-02-07,24
6,11,2020-02-09,24
7,12,2020-02-10,25
8,13,2020-02-11,27
9,14,2020-02-12,27
10,15,2020-02-13,27
11,16,2020-02-14,27
12,17,2020-02-15,27
13,18,2020-02-16,28
14,19,2020-02-17,28
15,20,2020-02-18,28
16,21,2020-02-19,28
17,26,2020-02-24,29
18,27,2020-02-25,29
19,28,2020-02-26,29
20,29,2020-02-27,29
21,30,2020-02-28,29
22,38,2020-03-07,29
23,340,2021-01-03,30
24,341,2021-01-04,32
25,342,2021-01-05,43
26,343,2021-01-06,62
27,344,2021-01-07,112
28,345,2021-01-08,147
29,346,2021-01-09,157
30,347,2021-01-10,241
31,348,2021-01-11,294
32,349,2021-01-12,333
33,350,2021-01-13,427
34,351,2021-01-14,524
35,352,2021-01-15,608
36,353,2021-01-16,675
37,354,2021-01-17,735
38,355,2021-01-18,774
39,356,2021-01-19,801
40,357,2021-01-20,813
41,358,2021-01-21,842
42,359,2021-01-22,851
43,360,2021-01-23,856
44,361,2021-01-24,876
45,362,2021-01-25,881
46,363,2021-01-26,887
47,364,2021-01-27,890
48,365,2021-01-28,891
49,366,2021-01-29,892
50,368,2021-01-31,894
51,369,2021-02-01,894
52,373,2021-02-05,897
53,376,2021-02-08,897
54,388,2021-02-20,898
55,389,2021-02-21,898
56,390,2021-02-22,898
57,391,2021-02-23,898
58,397,2021-03-01,898
59,398,2021-03-02,898
60,399,2021-03-03,898
61,400,2021-03-04,898
62,401,2021-03-05,898
63,402,2021-03-06,898
