,no,time,num
0,1,2020-01-28,57
1,2,2020-01-29,80
2,3,2020-01-30,98
3,4,2020-01-31,110
4,5,2020-02-01,170
5,6,2020-02-02,207
6,7,2020-02-03,226
7,8,2020-02-04,269
8,9,2020-02-05,289
9,10,2020-02-06,316
10,11,2020-02-07,339
11,12,2020-02-08,354
12,13,2020-02-09,366
13,14,2020-02-10,369
14,15,2020-02-11,375
15,16,2020-02-12,386
16,17,2020-02-13,391
17,18,2020-02-14,400
18,19,2020-02-15,406
19,20,2020-02-16,414
20,21,2020-02-17,415
21,22,2020-02-18,416
22,23,2020-02-19,416
23,24,2020-02-20,416
24,25,2020-02-21,416
25,26,2020-02-22,417
26,27,2020-02-23,417
27,28,2020-02-24,417
28,29,2020-02-25,417
29,30,2020-02-26,417
30,31,2020-02-27,417
31,32,2020-02-28,417
32,33,2020-02-29,417
33,34,2020-03-01,417
34,35,2020-03-02,417
35,36,2020-03-03,417
36,37,2020-03-04,417
37,38,2020-03-05,417
38,39,2020-03-06,417
39,40,2020-03-07,417
40,41,2020-03-08,417
41,42,2020-03-09,417
42,43,2020-03-10,417
43,44,2020-03-11,417
44,45,2020-03-12,417
45,46,2020-03-13,417
46,47,2020-03-14,417
47,48,2020-03-15,417
48,49,2020-03-16,417
49,50,2020-03-17,417
50,51,2020-03-18,417
51,52,2020-03-19,417
52,53,2020-03-20,417
53,54,2020-03-21,417
54,55,2020-03-22,417
55,56,2020-03-23,417
56,57,2020-03-24,417
57,58,2020-03-25,417
58,59,2020-03-26,417
59,60,2020-03-27,417
60,61,2020-03-28,417
61,62,2020-03-29,417
62,63,2020-03-30,417
63,64,2020-03-31,417
64,65,2020-04-01,418
65,66,2020-04-02,418
66,67,2020-04-03,418
67,68,2020-04-04,418
68,69,2020-04-05,418
69,70,2020-04-06,419
70,71,2020-04-07,419
71,72,2020-04-08,419
72,73,2020-04-09,419
73,74,2020-04-10,419
74,75,2020-04-11,419
75,76,2020-04-12,419
76,77,2020-04-13,419
77,78,2020-04-14,419
78,79,2020-04-15,419
79,80,2020-04-16,419
80,81,2020-04-17,420
81,82,2020-04-18,421
82,83,2020-04-19,422
83,84,2020-04-20,422
84,85,2020-04-21,422
85,86,2020-04-22,422
86,87,2020-04-23,422
87,88,2020-04-24,422
88,89,2020-04-25,422
89,90,2020-04-26,422
90,91,2020-04-27,422
91,92,2020-04-28,422
92,93,2020-04-29,423
93,94,2020-04-30,423
94,95,2020-05-01,423
95,96,2020-05-02,423
96,97,2020-05-03,423
97,98,2020-05-04,423
98,99,2020-05-05,423
99,100,2020-05-06,423
100,101,2020-05-07,423
101,102,2020-05-08,423
102,103,2020-05-09,423
103,104,2020-05-10,423
104,105,2020-05-11,423
105,106,2020-05-12,423
106,107,2020-05-13,423
107,108,2020-05-14,423
108,109,2020-05-15,423
109,110,2020-05-16,423
110,111,2020-05-17,423
111,112,2020-05-18,423
112,113,2020-05-19,423
113,114,2020-05-20,423
114,115,2020-05-21,423
115,116,2020-05-22,423
116,117,2020-05-23,423
117,118,2020-05-24,423
118,119,2020-05-25,423
119,120,2020-05-26,423
120,121,2020-05-27,423
121,122,2020-05-28,423
122,123,2020-05-29,423
123,124,2020-05-30,423
124,125,2020-05-31,423
125,491,2021-06-01,423
126,492,2021-06-02,423
127,493,2021-06-03,423
128,494,2021-06-04,423
129,495,2021-06-05,423
130,496,2021-06-06,424
131,497,2021-06-07,424
132,498,2021-06-08,427
133,499,2021-06-09,427
134,500,2021-06-10,427
135,501,2021-06-11,427
136,502,2021-06-12,427
137,503,2021-06-13,427
138,504,2021-06-14,427
139,505,2021-06-15,428
