,no,time,num
0,1,2020-05-29,82
1,2,2020-05-30,82
2,3,2020-05-31,82
3,4,2020-06-01,82
4,5,2020-06-02,82
5,6,2020-06-03,82
6,7,2020-06-04,82
7,8,2020-06-05,82
8,9,2020-06-06,82
9,10,2020-06-07,82
10,11,2020-06-08,82
11,12,2020-06-09,82
12,13,2020-06-10,82
13,14,2020-06-11,82
14,15,2020-06-12,82
15,16,2020-06-13,82
16,17,2020-06-14,82
17,18,2020-06-15,82
18,19,2020-06-16,82
19,20,2020-06-17,82
20,21,2020-06-18,82
21,22,2020-06-19,82
22,23,2020-06-20,83
23,24,2020-06-21,83
24,25,2020-06-22,83
25,26,2020-06-23,83
26,27,2020-06-24,83
27,28,2020-06-25,83
28,29,2020-06-26,83
29,30,2020-06-27,83
30,31,2020-06-28,83
31,32,2020-06-29,83
32,33,2020-06-30,83
33,34,2020-07-01,83
34,35,2020-07-02,83
35,36,2020-07-03,83
36,37,2020-07-04,83
37,38,2020-07-05,84
38,39,2020-07-06,84
39,40,2020-07-07,84
40,41,2020-07-08,84
41,42,2020-07-09,85
42,43,2020-07-10,85
43,44,2020-07-11,85
44,45,2020-07-12,86
45,46,2020-07-13,86
46,47,2020-07-14,86
47,48,2020-07-15,86
48,49,2020-07-16,88
49,50,2020-07-17,88
50,51,2020-07-18,88
51,52,2020-07-19,89
52,53,2020-07-20,89
53,54,2020-07-21,89
54,55,2020-07-22,89
55,56,2020-07-23,91
56,57,2020-07-24,91
57,58,2020-07-25,91
58,59,2020-07-26,91
59,60,2020-07-27,93
60,61,2020-07-28,93
61,62,2020-07-29,96
62,63,2020-07-30,98
63,64,2020-07-31,110
64,65,2020-08-01,110
65,66,2020-08-02,112
66,67,2020-08-03,115
67,68,2020-08-04,118
68,69,2020-08-05,119
69,70,2020-08-06,119
70,71,2020-08-07,121
71,72,2020-08-08,125
72,73,2020-08-09,127
73,74,2020-08-10,127
74,75,2020-08-11,127
75,76,2020-08-12,127
76,77,2020-08-13,128
77,78,2020-08-14,128
78,79,2020-08-15,128
79,80,2020-08-16,128
80,81,2020-08-17,128
81,82,2020-08-18,129
82,83,2020-08-19,132
83,84,2020-08-20,135
84,85,2020-08-21,137
85,86,2020-08-22,137
86,87,2020-08-23,138
87,88,2020-08-24,139
88,89,2020-08-25,139
89,90,2020-08-26,139
90,91,2020-08-27,139
91,92,2020-08-28,140
92,93,2020-08-29,141
93,94,2020-08-30,142
94,95,2020-08-31,142
95,96,2020-09-01,143
96,97,2020-09-02,144
97,98,2020-09-03,145
98,99,2020-09-04,145
99,100,2020-09-05,145
100,101,2020-09-06,146
101,102,2020-09-07,146
102,103,2020-09-08,146
103,104,2020-09-09,147
104,105,2020-09-10,148
105,106,2020-09-11,147
106,107,2020-09-12,147
107,108,2020-09-13,148
108,109,2020-09-14,149
109,110,2020-09-15,149
110,111,2020-09-16,151
111,112,2020-09-17,153
112,113,2020-09-18,158
113,114,2020-09-19,161
114,115,2020-09-20,162
115,116,2020-09-21,165
116,117,2020-09-22,165
117,118,2020-09-23,165
118,119,2020-09-24,165
119,120,2020-09-25,168
120,121,2020-09-26,168
121,122,2020-09-27,170
122,123,2020-09-28,170
123,124,2020-09-29,170
124,125,2020-09-30,170
125,126,2020-10-01,170
126,127,2020-10-02,170
127,128,2020-10-03,170
128,129,2020-10-04,170
129,130,2020-10-05,170
130,131,2020-10-06,170
131,132,2020-10-07,170
132,133,2020-10-08,171
133,134,2020-10-09,176
134,135,2020-10-10,176
135,136,2020-10-11,177
136,137,2020-10-12,179
137,138,2020-10-13,179
138,139,2020-10-14,179
139,140,2020-10-15,179
140,141,2020-10-16,180
141,142,2020-10-17,180
142,143,2020-10-18,180
143,144,2020-10-19,180
144,145,2020-10-20,180
145,146,2020-10-21,180
146,147,2020-10-22,180
147,148,2020-10-23,180
148,149,2020-10-24,180
149,150,2020-10-25,181
150,151,2020-10-26,182
151,152,2020-10-27,182
152,153,2020-10-28,182
153,154,2020-10-29,182
154,155,2020-10-30,183
155,156,2020-10-31,183
156,157,2020-11-01,184
157,158,2020-11-02,184
158,159,2020-11-03,184
159,160,2020-11-04,184
