,no,time,num
0,1,2020-03-10,2
1,2,2020-03-11,2
2,3,2020-03-12,6
3,4,2020-03-13,14
4,5,2020-03-14,21
5,6,2020-03-15,21
6,7,2020-03-16,33
7,8,2020-03-17,33
8,9,2020-03-18,49
9,10,2020-03-19,58
10,11,2020-03-20,67
11,12,2020-03-21,75
12,13,2020-03-22,84
13,14,2020-03-23,95
14,15,2020-03-24,116
15,16,2020-03-25,124
16,17,2020-03-26,132
17,18,2020-03-27,146
18,19,2020-03-28,162
19,20,2020-03-29,214
20,21,2020-03-30,214
21,22,2020-03-31,230
22,23,2020-04-01,262
23,24,2020-04-02,320
24,25,2020-04-03,356
25,26,2020-04-04,396
26,27,2020-04-05,426
27,28,2020-04-06,446
28,29,2020-04-07,465
29,30,2020-04-08,494
30,31,2020-04-09,526
31,32,2020-04-10,564
32,33,2020-04-11,595
33,34,2020-04-12,616
34,35,2020-04-13,662
35,36,2020-04-14,662
36,37,2020-04-15,695
37,38,2020-04-16,715
38,39,2020-04-17,750
39,40,2020-04-18,761
40,41,2020-04-19,767
41,42,2020-04-20,767
42,43,2020-04-21,772
43,44,2020-04-22,790
44,45,2020-04-23,795
45,46,2020-04-24,804
46,47,2020-04-25,810
47,48,2020-04-26,817
48,49,2020-04-27,817
49,50,2020-04-28,837
50,51,2020-04-29,843
51,52,2020-04-30,850
52,53,2020-05-01,850
53,54,2020-05-02,864
54,55,2020-05-03,864
55,56,2020-05-04,874
56,57,2020-05-05,878
57,58,2020-05-06,883
58,59,2020-05-07,889
59,60,2020-05-08,891
60,61,2020-05-09,892
61,62,2020-05-10,898
62,63,2020-05-11,901
63,64,2020-05-12,903
64,65,2020-05-13,905
65,66,2020-05-14,905
66,67,2020-05-15,907
67,68,2020-05-16,914
68,69,2020-05-17,914
69,70,2020-05-18,916
70,71,2020-05-19,917
71,72,2020-05-20,918
72,73,2020-05-21,922
73,74,2020-05-22,923
74,75,2020-05-23,927
75,76,2020-05-24,935
76,77,2020-05-25,935
77,78,2020-05-26,937
78,79,2020-05-27,939
79,80,2020-05-28,939
80,81,2020-05-29,941
81,82,2020-05-30,942
82,83,2020-05-31,943
83,84,2020-06-01,944
84,85,2020-06-02,949
85,86,2020-06-03,952
86,87,2020-06-04,958
87,88,2020-06-05,958
88,89,2020-06-06,960
89,90,2020-06-07,964
90,91,2020-06-08,964
91,92,2020-06-09,970
92,93,2020-06-10,972
93,94,2020-06-11,974
94,95,2020-06-12,975
95,96,2020-06-13,980
96,97,2020-06-14,980
97,98,2020-06-15,985
98,99,2020-06-16,985
99,100,2020-06-17,985
100,101,2020-06-18,985
101,102,2020-06-19,985
102,103,2020-06-20,985
103,104,2020-06-21,985
104,105,2020-06-22,986
105,106,2020-06-23,988
106,107,2020-06-24,990
107,108,2020-06-25,991
108,109,2020-06-26,992
109,110,2020-06-27,992
110,111,2020-06-28,994
111,112,2020-06-29,994
112,113,2020-06-30,996
113,114,2020-07-01,998
114,115,2020-07-02,999
115,116,2020-07-03,999
116,117,2020-07-04,999
117,118,2020-07-05,1002
118,119,2020-07-06,1003
119,120,2020-07-07,1004
120,121,2020-07-08,1005
121,122,2020-07-09,1008
122,123,2020-07-10,1010
123,124,2020-07-11,1013
124,125,2020-07-12,1014
125,126,2020-07-13,1021
126,127,2020-07-14,1023
127,128,2020-07-15,1023
128,129,2020-07-16,1025
129,130,2020-07-17,1031
130,131,2020-07-18,1033
131,132,2020-07-19,1037
132,133,2020-07-20,1038
133,134,2020-07-21,1038
134,135,2020-07-22,1040
135,136,2020-07-23,1040
136,137,2020-07-24,1047
137,138,2020-07-25,1047
138,139,2020-07-26,1053
139,140,2020-07-27,1057
140,141,2020-07-28,1060
141,142,2020-07-29,1067
142,143,2020-07-30,1080
143,144,2020-07-31,1090
144,145,2020-08-01,1119
145,146,2020-08-02,1139
146,147,2020-08-03,1150
147,148,2020-08-04,1155
148,149,2020-08-05,1180
149,150,2020-08-06,1195
150,151,2020-08-07,1208
151,152,2020-08-08,1222
152,153,2020-08-09,1233
153,154,2020-08-10,1242
154,155,2020-08-11,1252
155,156,2020-08-12,1277
156,157,2020-08-13,1291
157,158,2020-08-14,1305
158,159,2020-08-15,1318
159,160,2020-08-16,1332
160,161,2020-08-17,1339
161,162,2020-08-18,1351
162,163,2020-08-19,1359
163,164,2020-08-20,1385
164,165,2020-08-21,1406
165,166,2020-08-22,1406
166,167,2020-08-23,1417
167,168,2020-08-24,1451
168,169,2020-08-25,1451
169,170,2020-08-26,1484
170,171,2020-08-27,1484
171,172,2020-08-28,1467
172,173,2020-08-29,1481
173,174,2020-08-30,1483
174,175,2020-08-31,1487
175,176,2020-09-01,1488
176,177,2020-09-02,1490
177,178,2020-09-03,1495
178,179,2020-09-04,1498
179,180,2020-09-05,1502
180,181,2020-09-06,1507
181,182,2020-09-07,1509
182,183,2020-09-08,1510
183,184,2020-09-09,1511
184,185,2020-09-10,1514
185,186,2020-09-11,1517
186,187,2020-09-12,1520
187,188,2020-09-13,1523
188,189,2020-09-14,1526
189,190,2020-09-15,1534
190,191,2020-09-16,1540
191,192,2020-09-17,1548
192,193,2020-09-18,1558
193,194,2020-09-19,1565
194,195,2020-09-20,1590
195,196,2020-09-21,1603
196,197,2020-09-22,1603
197,198,2020-09-23,1618
198,199,2020-09-24,1654
199,200,2020-09-25,1663
200,201,2020-09-26,1671
201,202,2020-09-27,1684
202,203,2020-09-28,1696
203,204,2020-09-29,1713
204,205,2020-09-30,1743
205,206,2020-10-01,1755
206,207,2020-10-02,1789
207,208,2020-10-03,1789
208,209,2020-10-04,1824
209,210,2020-10-05,1824
210,211,2020-10-06,1847
211,212,2020-10-07,1876
212,213,2020-10-08,1897
213,214,2020-10-09,1918
214,215,2020-10-10,1951
215,216,2020-10-11,1986
216,217,2020-10-12,2006
217,218,2020-10-13,2047
218,219,2020-10-14,2130
219,220,2020-10-15,2181
220,221,2020-10-16,2285
221,222,2020-10-17,2379
222,223,2020-10-18,2581
223,224,2020-10-19,2644
224,225,2020-10-20,2687
225,226,2020-10-21,2839
226,227,2020-10-22,2966
227,228,2020-10-23,3154
228,229,2020-10-24,3314
229,230,2020-10-25,3444
230,231,2020-10-26,3545
231,232,2020-10-27,3636
232,233,2020-10-28,3817
233,234,2020-10-29,3930
234,235,2020-10-30,4051
235,236,2020-10-31,4217
236,237,2020-11-01,4366
237,238,2020-11-02,4563
238,239,2020-11-03,4760
239,240,2020-11-04,4934
240,241,2020-11-05,5100
241,242,2020-11-06,5333
242,243,2020-11-07,5557
243,244,2020-11-08,5871
244,245,2020-11-09,5987
245,246,2020-11-10,6098
246,247,2020-11-11,6296
247,248,2020-11-12,6461
248,249,2020-11-13,6646
249,250,2020-11-14,6853
250,251,2020-11-15,7051
251,252,2020-11-16,7178
252,253,2020-11-17,7285
253,254,2020-11-18,7513
254,255,2020-11-19,7711
255,256,2020-11-20,7979
256,257,2020-11-21,8211
257,258,2020-11-22,8456
258,259,2020-11-23,8643
259,260,2020-11-24,8947
260,261,2020-11-25,9199
261,262,2020-11-26,9453
262,263,2020-11-27,9673
263,264,2020-11-28,9983
264,265,2020-11-29,10231
265,266,2020-11-30,10383
266,267,2020-12-01,10565
267,268,2020-12-02,10883
268,269,2020-12-03,11175
269,270,2020-12-04,11523
270,271,2020-12-05,11812
271,272,2020-12-06,12181
272,273,2020-12-07,12451
273,274,2020-12-08,12867
274,275,2020-12-09,13286
275,276,2020-12-10,13286
276,277,2020-12-11,13649
277,278,2020-12-12,13649
278,279,2020-12-13,14800
279,280,2020-12-14,15101
280,281,2020-12-15,15450
281,282,2020-12-16,15789
282,283,2020-12-17,16190
283,284,2020-12-18,16647
284,285,2020-12-19,17057
285,286,2020-12-20,17476
286,287,2020-12-21,17688
287,288,2020-12-22,18004
288,289,2020-12-23,18004
289,290,2020-12-24,18883
290,291,2020-12-25,19316
291,292,2020-12-26,19366
292,293,2020-12-27,19391
293,294,2020-12-28,19657
294,295,2020-12-29,20408
295,296,2020-12-30,21315
296,297,2020-12-31,22019
297,298,2021-01-01,22019
298,299,2021-01-02,22818
299,300,2021-01-03,23445
300,301,2021-01-04,23974
301,302,2021-01-05,24639
302,303,2021-01-06,25208
303,304,2021-01-07,25781
304,305,2021-01-08,26208
305,306,2021-01-09,26674
306,307,2021-01-10,27011
307,308,2021-01-11,27350
308,309,2021-01-12,27638
309,310,2021-01-13,27897
310,311,2021-01-14,28124
311,312,2021-01-15,28124
312,313,2021-01-16,28609
313,314,2021-01-17,28811
314,315,2021-01-18,28968
315,316,2021-01-19,29130
316,317,2021-01-20,29294
317,318,2021-01-21,29472
318,319,2021-01-22,29636
319,320,2021-01-23,29758
320,321,2021-01-24,29887
321,322,2021-01-25,30017
322,323,2021-01-26,30143
323,324,2021-01-27,30252
324,325,2021-01-28,30380
325,326,2021-01-29,30538
326,327,2021-01-30,30657
327,328,2021-01-31,30770
328,329,2021-02-01,30876
329,330,2021-02-02,30996
330,331,2021-02-03,31124
331,332,2021-02-04,31263
332,333,2021-02-05,31379
333,334,2021-02-06,31512
334,335,2021-02-07,31644
335,336,2021-02-08,31759
336,337,2021-02-09,31864
337,338,2021-02-10,31959
338,339,2021-02-11,32072
339,340,2021-02-12,32175
340,341,2021-02-13,32288
341,342,2021-02-14,32390
342,343,2021-02-15,32513
343,344,2021-02-16,32626
