,no,time,num
0,1,2020-02-27,1
1,2,2020-02-28,1
2,4,2020-03-01,1
3,5,2020-03-02,1
4,6,2020-03-03,1
5,7,2020-03-04,1
6,8,2020-03-05,3
7,9,2020-03-06,5
8,10,2020-03-07,10
9,11,2020-03-08,10
10,12,2020-03-09,10
11,13,2020-03-10,12
12,14,2020-03-11,13
13,15,2020-03-12,16
14,16,2020-03-13,41
15,17,2020-03-14,68
16,18,2020-03-15,135
17,19,2020-03-16,171
18,20,2020-03-17,205
19,21,2020-03-18,258
20,22,2020-03-19,258
21,23,2020-03-20,267
22,24,2020-03-21,283
23,25,2020-03-22,306
24,26,2020-03-23,326
25,27,2020-03-24,352
26,28,2020-03-25,369
27,29,2020-03-26,404
28,30,2020-03-27,538
29,31,2020-03-28,575
30,32,2020-03-29,645
31,33,2020-03-30,715
32,34,2020-03-31,745
33,35,2020-04-01,779
34,36,2020-04-02,858
35,37,2020-04-03,961
36,38,2020-04-04,1018
37,39,2020-04-05,1097
38,40,2020-04-06,1108
39,41,2020-04-07,1149
40,42,2020-04-08,1185
41,43,2020-04-09,1207
42,44,2020-04-10,1258
43,45,2020-04-11,1304
44,46,2020-04-12,1309
45,47,2020-04-13,1332
46,48,2020-04-14,1373
47,49,2020-04-15,1400
48,50,2020-04-16,1434
49,51,2020-04-17,1459
50,52,2020-04-18,1512
51,53,2020-04-19,1528
52,54,2020-04-20,1535
53,55,2020-04-21,1552
54,56,2020-04-22,1559
55,57,2020-04-23,1592
56,58,2020-04-24,1605
57,59,2020-04-25,1635
58,60,2020-04-26,1643
59,61,2020-04-27,1647
60,62,2020-04-28,1660
61,63,2020-04-29,1666
62,64,2020-04-30,1689
63,65,2020-05-01,1694
64,66,2020-05-02,1699
65,67,2020-05-03,1699
66,68,2020-05-04,1703
67,69,2020-05-05,1711
68,70,2020-05-06,1713
69,71,2020-05-07,1720
70,72,2020-05-08,1725
71,73,2020-05-09,1733
72,74,2020-05-10,1739
73,75,2020-05-11,1741
74,76,2020-05-12,1746
75,77,2020-05-13,1751
76,78,2020-05-14,1758
77,79,2020-05-15,1766
78,80,2020-05-16,1770
79,81,2020-05-17,1774
80,82,2020-05-18,1784
81,83,2020-05-19,1791
82,84,2020-05-20,1794
83,85,2020-05-21,1800
84,86,2020-05-22,1807
85,87,2020-05-23,1821
86,88,2020-05-24,1823
87,89,2020-05-25,1824
88,90,2020-05-26,1834
89,91,2020-05-27,1840
90,92,2020-05-28,1851
91,93,2020-05-29,1859
92,94,2020-05-30,1865
93,95,2020-05-31,1869
94,96,2020-06-01,1870
95,97,2020-06-02,1870
96,98,2020-06-03,1870
97,99,2020-06-04,1890
98,100,2020-06-05,1910
99,101,2020-06-06,1931
100,102,2020-06-07,1939
101,103,2020-06-08,1940
102,104,2020-06-09,1947
103,105,2020-06-10,1958
104,106,2020-06-11,1965
105,107,2020-06-12,1970
106,108,2020-06-13,1973
107,109,2020-06-14,1973
108,110,2020-06-15,1974
109,111,2020-06-16,1975
110,112,2020-06-17,1977
111,113,2020-06-18,1977
112,114,2020-06-19,1979
113,115,2020-06-20,1981
114,116,2020-06-21,1981
115,117,2020-06-22,1981
116,118,2020-06-23,1982
117,119,2020-06-24,1983
118,120,2020-06-25,1984
119,121,2020-06-26,1986
120,122,2020-06-27,1986
121,123,2020-06-28,1987
122,124,2020-06-29,1987
123,125,2020-06-30,1989
124,126,2020-07-01,1989
125,127,2020-07-02,1990
126,128,2020-07-03,1991
127,129,2020-07-04,1993
128,130,2020-07-05,1993
129,131,2020-07-06,1994
130,132,2020-07-07,1995
131,133,2020-07-08,2003
132,134,2020-07-09,2011
133,135,2020-07-10,2013
134,136,2020-07-11,2014
135,137,2020-07-12,2014
136,138,2020-07-13,2014
137,139,2020-07-14,2015
138,140,2020-07-15,2016
139,141,2020-07-16,2016
140,142,2020-07-17,2020
141,143,2020-07-18,2021
142,144,2020-07-19,2021
143,145,2020-07-20,2021
144,146,2020-07-21,2022
145,147,2020-07-22,2025
146,148,2020-07-23,2027
147,149,2020-07-24,2028
148,150,2020-07-25,2033
149,151,2020-07-26,2034
150,152,2020-07-27,2034
151,153,2020-07-28,2038
152,154,2020-07-29,2042
153,155,2020-07-30,2051
154,156,2020-07-31,2064
155,157,2020-08-01,2072
156,158,2020-08-02,2079
157,159,2020-08-03,2080
158,160,2020-08-04,2091
159,161,2020-08-05,2113
160,162,2020-08-06,2124
161,163,2020-08-07,2133
162,164,2020-08-08,2147
163,165,2020-08-09,2152
164,166,2020-08-10,2158
165,167,2020-08-11,2167
166,168,2020-08-12,2174
167,169,2020-08-13,2174
168,170,2020-08-14,2177
169,171,2020-08-15,2184
170,172,2020-08-16,2190
171,173,2020-08-17,2192
172,174,2020-08-18,2200
173,175,2020-08-19,2207
174,176,2020-08-20,2227
175,177,2020-08-21,2244
176,178,2020-08-22,2265
177,179,2020-08-23,2272
178,180,2020-08-24,2275
179,181,2020-08-25,2294
180,182,2020-08-26,2311
181,183,2020-08-27,2325
182,184,2020-08-28,2343
183,185,2020-08-29,2363
184,186,2020-08-30,2373
185,187,2020-08-31,2375
186,188,2020-09-01,2395
187,189,2020-09-02,2415
188,190,2020-09-03,2441
189,191,2020-09-04,2456
190,192,2020-09-05,2491
191,193,2020-09-06,2516
192,194,2020-09-07,2532
193,195,2020-09-08,2564
194,196,2020-09-09,2585
195,197,2020-09-10,2600
196,198,2020-09-11,2632
197,199,2020-09-12,2655
198,200,2020-09-13,2676
199,201,2020-09-14,2698
200,202,2020-09-15,2722
201,203,2020-09-16,2756
202,204,2020-09-17,2778
203,205,2020-09-18,2814
204,206,2020-09-19,2875
205,207,2020-09-20,2924
206,208,2020-09-21,2941
207,209,2020-09-22,2976
208,210,2020-09-23,3033
209,211,2020-09-24,3076
210,212,2020-09-25,3118
211,213,2020-09-26,3165
212,214,2020-09-27,3200
213,215,2020-09-28,3267
214,216,2020-09-29,3315
215,217,2020-09-30,3371
216,218,2020-10-01,3450
217,219,2020-10-02,3507
218,220,2020-10-03,3577
219,221,2020-10-04,3607
220,222,2020-10-05,3617
221,223,2020-10-06,3659
222,224,2020-10-07,3684
223,225,2020-10-08,3760
224,226,2020-10-09,3809
225,227,2020-10-10,3846
226,228,2020-10-11,3865
227,229,2020-10-12,3883
228,230,2020-10-13,3908
229,231,2020-10-14,3947
230,232,2020-10-15,3980
231,233,2020-10-16,4017
232,234,2020-10-17,4052
233,235,2020-10-18,4078
234,236,2020-10-19,4085
235,237,2020-10-20,4127
236,238,2020-10-21,4171
237,239,2020-10-22,4247
238,240,2020-10-23,4300
239,241,2020-10-24,4351
240,242,2020-10-25,4411
241,243,2020-10-26,4428
242,244,2020-10-27,4465
243,245,2020-10-28,4590
244,246,2020-10-29,4671
245,247,2020-10-30,4771
246,248,2020-10-31,4905
247,249,2020-11-01,4985
248,250,2020-11-02,5046
249,251,2020-11-03,5125
250,252,2020-11-04,5333
251,253,2020-11-05,5464
252,254,2020-11-06,5705
253,255,2020-11-07,5933
254,256,2020-11-08,6125
255,257,2020-11-09,6250
256,258,2020-11-10,6250
257,259,2020-11-11,6376
258,260,2020-11-12,6881
259,261,2020-11-13,7148
260,262,2020-11-14,7412
261,263,2020-11-15,7637
262,264,2020-11-16,7848
263,265,2020-11-17,8033
264,266,2020-11-18,8304
265,267,2020-11-19,8715
266,268,2020-11-20,9076
267,269,2020-11-21,9375
268,270,2020-11-22,9724
269,271,2020-11-23,9956
270,272,2020-11-24,10159
271,273,2020-11-25,10541
272,274,2020-11-26,10955
273,275,2020-11-27,11323
274,276,2020-11-28,11698
275,277,2020-11-29,12052
276,278,2020-11-30,12308
277,279,2020-12-01,12497
278,280,2020-12-02,13019
279,281,2020-12-03,13469
280,282,2020-12-04,13939
281,283,2020-12-05,14500
282,284,2020-12-06,14978
283,285,2020-12-07,15226
284,286,2020-12-08,15510
285,287,2020-12-09,16054
286,288,2020-12-10,16598
287,289,2020-12-11,16956
288,290,2020-12-12,17713
289,291,2020-12-13,18055
290,292,2020-12-14,18385
291,293,2020-12-15,18682
292,294,2020-12-16,19271
293,295,2020-12-17,20004
294,296,2020-12-18,20658
295,297,2020-12-19,21219
296,298,2020-12-20,21794
297,299,2020-12-21,22083
298,300,2020-12-22,22647
299,301,2020-12-23,23309
300,302,2020-12-24,24009
301,303,2020-12-25,24582
302,304,2020-12-26,25027
303,305,2020-12-27,25392
304,306,2020-12-28,25808
305,307,2020-12-29,26283
306,308,2020-12-30,27256
307,309,2020-12-31,27990
308,310,2021-01-01,28406
309,311,2021-01-02,28789
310,312,2021-01-03,29131
311,313,2021-01-04,29521
312,314,2021-01-05,29950
313,315,2021-01-06,30667
314,316,2021-01-07,31751
315,317,2021-01-08,32537
316,318,2021-01-09,33089
317,319,2021-01-10,33516
318,320,2021-01-11,33805
319,321,2021-01-12,34138
320,322,2021-01-13,34991
321,323,2021-01-14,35621
322,324,2021-01-15,36096
323,325,2021-01-16,36691
324,326,2021-01-17,37079
325,327,2021-01-18,37344
326,328,2021-01-19,37941
327,329,2021-01-20,38544
328,330,2021-01-21,39212
329,331,2021-01-22,39701
330,332,2021-01-23,40184
331,333,2021-01-24,40716
332,334,2021-01-25,40975
333,335,2021-01-26,41330
334,336,2021-01-27,41966
335,337,2021-01-28,42656
336,338,2021-01-29,43343
337,339,2021-01-30,43747
338,340,2021-01-31,44208
339,341,2021-02-01,44575
340,342,2021-02-02,44978
341,343,2021-02-03,45663
342,344,2021-02-04,46334
343,345,2021-02-05,46925
344,346,2021-02-06,47512
345,347,2021-02-07,47928
346,348,2021-02-08,48267
347,349,2021-02-09,48809
348,350,2021-02-10,49605
349,351,2021-02-11,50280
350,352,2021-02-12,50993
351,353,2021-02-13,51749
352,354,2021-02-14,52416
353,355,2021-02-15,52827
354,356,2021-02-16,53444
355,357,2021-02-17,54300
356,358,2021-02-18,55295
357,359,2021-02-19,56246
358,360,2021-02-20,57033
359,361,2021-02-21,57616
360,362,2021-02-22,58445
361,363,2021-02-23,59407
362,364,2021-02-24,60475
363,365,2021-02-25,61627
364,366,2021-02-26,62830
365,367,2021-02-27,64399
366,368,2021-02-28,65600
367,369,2021-03-01,66628
368,370,2021-03-02,67739
369,371,2021-03-03,69193
370,372,2021-03-04,70610
371,373,2021-03-05,72144
372,374,2021-03-06,73684
373,375,2021-03-07,75003
374,376,2021-03-08,76183
375,377,2021-03-09,77491
376,378,2021-03-10,78973
377,379,2021-03-11,80929
378,380,2021-03-12,82286
379,381,2021-03-13,83872
380,382,2021-03-14,84807
381,383,2021-03-15,86086
382,384,2021-03-16,87548
383,385,2021-03-17,89331
384,386,2021-03-18,91031
385,387,2021-03-19,92780
386,388,2021-03-20,94028
387,389,2021-03-21,95401
388,390,2021-03-22,96394
389,391,2021-03-23,97456
390,392,2021-03-24,99008
391,393,2021-03-25,100437
392,394,2021-03-26,101587
393,395,2021-03-27,102738
394,396,2021-03-28,103630
395,397,2021-03-29,104214
396,398,2021-03-30,105416
397,399,2021-03-31,106424
398,400,2021-04-01,107253
399,401,2021-04-02,108418
400,402,2021-04-03,108937
401,403,2021-04-04,109399
402,404,2021-04-05,109781
403,405,2021-04-06,110680
404,406,2021-04-07,111664
405,407,2021-04-08,112421
406,408,2021-04-09,113098
407,409,2021-04-10,113098
408,410,2021-04-11,114174
409,411,2021-04-12,114443
410,412,2021-04-13,115080
411,413,2021-04-14,115629
412,414,2021-04-15,116200
413,415,2021-04-16,116678
414,416,2021-04-17,117011
415,417,2021-04-18,117554
416,418,2021-04-19,117782
417,419,2021-04-20,118317
418,420,2021-04-21,118789
419,421,2021-04-22,119218
420,422,2021-04-23,119610
421,423,2021-04-24,120000
422,424,2021-04-25,120000
423,425,2021-04-26,120378
424,426,2021-04-27,120836
425,427,2021-04-28,121232
426,428,2021-04-29,121657
427,429,2021-04-30,122019
428,430,2021-05-01,122450
429,431,2021-05-02,122685
430,432,2021-05-03,122943
431,433,2021-05-04,123344
432,434,2021-05-05,123781
433,435,2021-05-06,124147
434,436,2021-05-07,124529
435,437,2021-05-08,124901
436,438,2021-05-09,125126
437,439,2021-05-10,125337
438,440,2021-05-11,125696
439,441,2021-05-12,126064
440,442,2021-05-13,126364
441,443,2021-05-14,126642
442,444,2021-05-15,126922
443,445,2021-05-16,127053
444,446,2021-05-17,127206
445,447,2021-05-18,127500
446,448,2021-05-19,127757
447,449,2021-05-20,128084
448,450,2021-05-21,128309
449,451,2021-05-22,128489
450,452,2021-05-23,128592
451,453,2021-05-24,128669
452,454,2021-05-25,128829
453,455,2021-05-26,129014
454,456,2021-05-27,129158
455,457,2021-05-28,129297
456,458,2021-05-29,129424
457,459,2021-05-30,129486
458,460,2021-05-31,129544
459,461,2021-06-01,129674
460,462,2021-06-02,129804
461,463,2021-06-03,129909
462,464,2021-06-04,130005
463,465,2021-06-05,130068
464,466,2021-06-06,130119
465,467,2021-06-07,130156
466,468,2021-06-08,130242
467,469,2021-06-09,130310
468,470,2021-06-10,130364
469,471,2021-06-11,130418
470,472,2021-06-12,130473
471,473,2021-06-13,130510
472,474,2021-06-14,130538
473,475,2021-06-15,130538
